#,MONTH,Order_Count,TotalRevenue,AverageOrderValue,TotalFreight,AverageFreight
1,07-96,22,"$27,861.89","$1,266.45","$4,000.88",$67.81
2,08-96,25,"$25,485.27","$1,019.41","$4,348.43",$63.02
3,09-96,23,"$26,381.40","$1,147.02","$3,307.37",$58.02
4,10-96,26,"$37,515.73","$1,442.91","$5,423.29",$74.29
5,11-96,25,"$45,600.04","$1,824.00","$5,985.35",$90.69
6,12-96,31,"$45,239.63","$1,459.34","$9,006.21",$111.19
7,01-97,33,"$61,258.07","$1,856.31","$7,022.50",$82.62
8,02-97,29,"$38,483.63","$1,327.02","$5,099.44",$64.55
9,03-97,30,"$38,547.22","$1,284.91","$6,617.18",$85.94
10,04-97,31,"$53,032.95","$1,710.74","$9,977.39",$123.18
11,05-97,32,"$53,781.29","$1,680.67","$12,271.50",$127.83
12,06-97,30,"$36,362.80","$1,212.09","$5,514.03",$72.55
13,07-97,33,"$51,020.86","$1,546.09","$8,621.37",$111.97
14,08-97,33,"$47,287.67","$1,432.96","$9,686.56",$115.32
15,09-97,37,"$55,629.24","$1,503.49","$10,934.76",$115.10
16,10-97,38,"$66,749.23","$1,756.56","$14,047.60",$132.52
17,11-97,34,"$43,533.81","$1,280.41","$6,040.46",$67.87
18,12-97,48,"$71,398.43","$1,487.47","$10,959.28",$96.13
19,01-98,55,"$94,222.11","$1,713.13","$19,027.55",$125.18
20,02-98,54,"$99,415.29","$1,841.02","$10,541.08",$86.40
21,03-98,73,"$104,854.16","$1,436.36","$16,112.59",$90.52
22,04-98,74,"$123,798.68","$1,672.96","$20,186.53",$112.15
23,05-98,14,"$18,333.63","$1,309.55","$2,574.75",$43.64
